job_id,skill_id
itpro.lk_14781,java
itpro.lk_14781,rest_api
itpro.lk_14781,software_testing
itpro.lk_14781,test_automation
itpro.lk_14781,selenium
itpro.lk_14781,api_testing
itpro.lk_14781,sql
itpro.lk_14781,git
itpro.lk_14781,cicd
itpro.lk_14781,agile
itpro.lk_14781,analytical_thinking
itpro.lk_14781,problem_solving
itpro.lk_14781,communication
itpro.lk_14781,teamwork
itpro.lk_14823,software_testing
itpro.lk_14823,test_automation
itpro.lk_14823,requirements_analysis
itpro.lk_14823,analytical_thinking
itpro.lk_14823,problem_solving
itpro.lk_14823,communication
itpro.lk_14823,teamwork
itpro.lk_14674,software_testing
itpro.lk_14674,test_automation
itpro.lk_14674,agile
itpro.lk_14674,analytical_thinking
itpro.lk_14674,problem_solving
itpro.lk_14674,communication
itpro.lk_14674,teamwork
itpro.lk_14673,software_testing
itpro.lk_14673,test_automation
itpro.lk_14673,rest_api
itpro.lk_14673,api_testing
itpro.lk_14673,sql
itpro.lk_14673,git
itpro.lk_14673,cicd
itpro.lk_14673,agile
itpro.lk_14673,scrum
itpro.lk_14673,analytical_thinking
itpro.lk_14673,problem_solving
itpro.lk_14673,communication
itpro.lk_14540,software_testing
itpro.lk_14540,test_automation
itpro.lk_14540,rest_api
itpro.lk_14540,api_testing
itpro.lk_14540,git
itpro.lk_14540,cicd
itpro.lk_14540,agile
itpro.lk_14540,python
itpro.lk_14540,java
itpro.lk_14540,javascript
itpro.lk_14540,problem_solving
itpro.lk_14540,analytical_thinking
itpro.lk_14540,communication
itpro.lk_14642,test_automation
itpro.lk_14642,selenium
itpro.lk_14642,cicd
itpro.lk_14642,agile
itpro.lk_14642,scrum
itpro.lk_14642,communication
itpro.lk_14642,teamwork
itpro.lk_14642,problem_solving
itpro.lk_14771,software_testing
itpro.lk_14771,analytical_thinking
itpro.lk_14771,problem_solving
itpro.lk_14771,communication
itpro.lk_14771,teamwork
itpro.lk_14824,software_testing
itpro.lk_14824,test_automation
itpro.lk_14824,communication
itpro.lk_14824,teamwork
itpro.lk_14828,software_testing
itpro.lk_14828,sql
itpro.lk_14828,api_testing
itpro.lk_14828,analytical_thinking
itpro.lk_14828,problem_solving
itpro.lk_14828,leadership
itpro.lk_14828,communication
itpro.lk_14828,teamwork
itpro.lk_14833,software_testing
itpro.lk_14833,test_automation
itpro.lk_14833,api_testing
itpro.lk_14833,rest_api
itpro.lk_14833,sql
itpro.lk_14833,cicd
itpro.lk_14833,agile
itpro.lk_14833,scrum
itpro.lk_14833,git
itpro.lk_14833,github_actions
itpro.lk_14833,gitlab_ci
itpro.lk_14833,docker
itpro.lk_14833,aws
itpro.lk_14833,analytical_thinking
itpro.lk_14833,communication
itpro.lk_14833,teamwork
itpro.lk_14848,software_testing
itpro.lk_14848,test_automation
itpro.lk_14848,api_testing
itpro.lk_14848,rest_api
itpro.lk_14848,sql
itpro.lk_14848,git
itpro.lk_14848,cicd
itpro.lk_14848,agile
itpro.lk_14848,analytical_thinking
itpro.lk_14848,problem_solving
itpro.lk_14848,communication
